ID,Name,State,Year,Month,Precipitation,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-059,Orange County,California,2015,June,0.02,-0.04,79,0.06
CA-061,Placer County,California,2015,June,0.77,0.06,84,0.71
CA-063,Plumas County,California,2015,June,0.65,-0.28,69,0.93
CA-065,Riverside County,California,2015,June,0.05,0.02,115,0.03
CA-067,Sacramento County,California,2015,June,0.1,-0.07,83,0.17
CA-069,San Benito County,California,2015,June,0.02,-0.05,69,0.07
CA-071,San Bernardino County,California,2015,June,0.06,0.01,105,0.05
CA-073,San Diego County,California,2015,June,0.09,0.03,108,0.06
CA-075,San Francisco County,California,2015,June,0.23,0.03,96,0.2
CA-077,San Joaquin County,California,2015,June,0.1,-0.01,91,0.11
CA-079,San Luis Obispo County,California,2015,June,0.07,0.03,107,0.04
CA-081,San Mateo County,California,2015,June,0.19,-0.02,89,0.21
CA-083,Santa Barbara County,California,2015,June,0.21,0.17,122,0.04
CA-085,Santa Clara County,California,2015,June,0.07,-0.07,77,0.14
CA-087,Santa Cruz County,California,2015,June,0.06,-0.15,69,0.21
CA-089,Shasta County,California,2015,June,0.57,-0.42,61,0.99
CA-091,Sierra County,California,2015,June,0.76,-0.13,74,0.89
CA-093,Siskiyou County,California,2015,June,0.52,-0.57,44,1.09
CA-095,Solano County,California,2015,June,0.15,0.01,95,0.14
CA-097,Sonoma County,California,2015,June,0.18,-0.14,84,0.32
CA-099,Stanislaus County,California,2015,June,0.02,-0.07,75,0.09
CA-101,Sutter County,California,2015,June,0.03,-0.18,53,0.21
CA-103,Tehama County,California,2015,June,0.33,-0.38,59,0.71
CA-105,Trinity County,California,2015,June,0.58,-0.32,68,0.9
CA-107,Tulare County,California,2015,June,0.09,-0.09,75,0.18
CA-109,Tuolumne County,California,2015,June,0.71,0.02,86,0.69
CA-111,Ventura County,California,2015,June,0.19,0.14,121,0.05
CA-113,Yolo County,California,2015,June,0.04,-0.14,67,0.18
CA-115,Yuba County,California,2015,June,0.07,-0.38,44,0.45
CA-001,Alameda County,California,2015,July,0.01,0,106,0.01
CA-003,Alpine County,California,2015,July,1.81,1.36,129,0.45
CA-005,Amador County,California,2015,July,0.18,0.13,124,0.05
CA-007,Butte County,California,2015,July,0.06,0.03,111,0.03
CA-009,Calaveras County,California,2015,July,0.08,0.04,110,0.04
CA-011,Colusa County,California,2015,July,0.12,0.11,127,0.01
CA-013,Contra Costa County,California,2015,July,0.02,0.01,119,0.01
CA-015,Del Norte County,California,2015,July,0.64,0.27,108,0.37
CA-017,El Dorado County,California,2015,July,0.43,0.3,124,0.13
CA-019,Fresno County,California,2015,July,0.56,0.45,129,0.11
CA-021,Glenn County,California,2015,July,0.18,0.15,124,0.03
CA-023,Humboldt County,California,2015,July,0.38,0.24,117,0.14
CA-025,Imperial County,California,2015,July,0.37,0.19,109,0.18
CA-027,Inyo County,California,2015,July,1.12,0.83,128,0.29
CA-029,Kern County,California,2015,July,0.5,0.45,130,0.05
CA-031,Kings County,California,2015,July,0.08,0.07,129,0.01
CA-033,Lake County,California,2015,July,0.17,0.15,129,0.02
CA-035,Lassen County,California,2015,July,1.36,1.05,129,0.31
CA-037,Los Angeles County,California,2015,July,0.36,0.33,130,0.03
CA-039,Madera County,California,2015,July,0.51,0.42,129,0.09
CA-041,Marin County,California,2015,July,0.07,0.06,126,0.01
CA-043,Mariposa County,California,2015,July,0.66,0.57,130,0.09
CA-045,Mendocino County,California,2015,July,0.24,0.2,128,0.04
CA-047,Merced County,California,2015,July,0.01,0.01,119,0
CA-049,Modoc County,California,2015,July,1.32,0.93,126,0.39
CA-051,Mono County,California,2015,July,1.66,1.19,127,0.47
CA-053,Monterey County,California,2015,July,0.13,0.12,128,0.01
CA-055,Napa County,California,2015,July,0.06,0.05,128,0.01
CA-057,Nevada County,California,2015,July,0.46,0.34,126,0.12
CA-059,Orange County,California,2015,July,0.19,0.17,130,0.02
CA-061,Placer County,California,2015,July,0.3,0.21,124,0.09
CA-063,Plumas County,California,2015,July,0.94,0.72,126,0.22
CA-065,Riverside County,California,2015,July,0.75,0.49,124,0.26
CA-067,Sacramento County,California,2015,July,0.01,0,106,0.01
CA-069,San Benito County,California,2015,July,0.03,0.02,116,0.01
CA-071,San Bernardino County,California,2015,July,1.2,0.84,128,0.36
CA-073,San Diego County,California,2015,July,0.72,0.52,128,0.2
CA-075,San Francisco County,California,2015,July,0.06,0.05,123,0.01
CA-077,San Joaquin County,California,2015,July,0.01,0,112,0.01
CA-079,San Luis Obispo County,California,2015,July,0.13,0.12,130,0.01
CA-081,San Mateo County,California,2015,July,0.05,0.03,111,0.02
CA-083,Santa Barbara County,California,2015,July,0.14,0.12,127,0.02
CA-085,Santa Clara County,California,2015,July,0.02,0.01,109,0.01
CA-087,Santa Cruz County,California,2015,July,0.06,0.04,111,0.02
CA-089,Shasta County,California,2015,July,0.46,0.3,119,0.16
CA-091,Sierra County,California,2015,July,0.99,0.76,128,0.23
CA-093,Siskiyou County,California,2015,July,1.03,0.67,123,0.36
CA-095,Solano County,California,2015,July,0.02,0.02,123,0
CA-097,Sonoma County,California,2015,July,0.08,0.07,127,0.01
CA-099,Stanislaus County,California,2015,July,0.01,0,117,0.01
CA-101,Sutter County,California,2015,July,0.01,0.01,113,0
CA-103,Tehama County,California,2015,July,0.18,0.11,118,0.07
CA-105,Trinity County,California,2015,July,0.76,0.57,128,0.19
CA-107,Tulare County,California,2015,July,1.04,0.91,130,0.13
CA-109,Tuolumne County,California,2015,July,0.93,0.76,129,0.17
CA-111,Ventura County,California,2015,July,0.29,0.27,130,0.02
CA-113,Yolo County,California,2015,July,0.02,0.01,120,0.01
CA-115,Yuba County,California,2015,July,0.03,0.02,116,0.01
CA-001,Alameda County,California,2015,August,0.02,-0.01,99,0.03
CA-003,Alpine County,California,2015,August,0.23,-0.21,56,0.44
CA-005,Amador County,California,2015,August,0.02,-0.05,52,0.07
CA-007,Butte County,California,2015,August,0.07,-0.03,91,0.1
CA-009,Calaveras County,California,2015,August,0.01,-0.04,55,0.05
CA-011,Colusa County,California,2015,August,0.06,0.02,108,0.04
CA-013,Contra Costa County,California,2015,August,0.01,-0.02,100,0.03
CA-015,Del Norte County,California,2015,August,0.86,0.34,103,0.52
CA-017,El Dorado County,California,2015,August,0.05,-0.09,51,0.14
CA-019,Fresno County,California,2015,August,0.02,-0.11,31,0.13
