ID,Name,State,Year,Month,Temperature,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-099,Stanislaus County,California,2015,May,63.7,-0.6,44,64.3
CA-101,Sutter County,California,2015,May,67.2,0.6,71,66.6
CA-103,Tehama County,California,2015,May,62.7,1.4,82,61.3
CA-105,Trinity County,California,2015,May,57.3,3.4,111,53.9
CA-107,Tulare County,California,2015,May,55.8,-0.6,43,56.4
CA-109,Tuolumne County,California,2015,May,51,-0.7,43,51.7
CA-111,Ventura County,California,2015,May,57,0.6,72,56.4
CA-113,Yolo County,California,2015,May,64.9,-0.2,54,65.1
CA-115,Yuba County,California,2015,May,64.4,0.8,70,63.6
CA-001,Alameda County,California,2015,June,69.4,4.4,127,65
CA-003,Alpine County,California,2015,June,59.3,6,127,53.3
CA-005,Amador County,California,2015,June,74.2,6.9,130,67.3
CA-007,Butte County,California,2015,June,76.6,6.5,129,70.1
CA-009,Calaveras County,California,2015,June,74.3,6.5,127,67.8
CA-011,Colusa County,California,2015,June,78,5.7,129,72.3
CA-013,Contra Costa County,California,2015,June,71.3,4.4,124,66.9
CA-015,Del Norte County,California,2015,June,67.1,8.8,130,58.3
CA-017,El Dorado County,California,2015,June,69.7,6.4,128,63.3
CA-019,Fresno County,California,2015,June,71.8,6.2,128,65.6
CA-021,Glenn County,California,2015,June,77.2,6,129,71.2
CA-023,Humboldt County,California,2015,June,66,6,130,60
CA-025,Imperial County,California,2015,June,90.2,4.6,122,85.6
CA-027,Inyo County,California,2015,June,79.9,5.9,125,74
CA-029,Kern County,California,2015,June,78.6,6.1,125,72.5
CA-031,Kings County,California,2015,June,80.7,6,127,74.7
CA-033,Lake County,California,2015,June,73,6.9,130,66.1
CA-035,Lassen County,California,2015,June,65.8,7.7,129,58.1
CA-037,Los Angeles County,California,2015,June,73.9,6,126,67.9
CA-039,Madera County,California,2015,June,72.8,6.4,129,66.4
CA-041,Marin County,California,2015,June,61.7,2.9,119,58.8
CA-043,Mariposa County,California,2015,June,71.8,6.6,128,65.2
CA-045,Mendocino County,California,2015,June,68.1,6.2,130,61.9
CA-047,Merced County,California,2015,June,77.2,5.1,128,72.1
CA-049,Modoc County,California,2015,June,66.2,9,129,57.2
CA-051,Mono County,California,2015,June,60.9,5.6,127,55.3
CA-053,Monterey County,California,2015,June,68.9,4.8,128,64.1
CA-055,Napa County,California,2015,June,71.4,4.1,126,67.3
CA-057,Nevada County,California,2015,June,68.2,6.3,128,61.9
CA-059,Orange County,California,2015,June,71.1,4.5,126,66.6
CA-061,Placer County,California,2015,June,69.6,6.3,128,63.3
CA-063,Plumas County,California,2015,June,64.7,6.9,129,57.8
CA-065,Riverside County,California,2015,June,83.9,5.1,121,78.8
CA-067,Sacramento County,California,2015,June,77.1,5.5,129,71.6
CA-069,San Benito County,California,2015,June,71.7,5.4,127,66.3
CA-071,San Bernardino County,California,2015,June,85.1,5.8,125,79.3
CA-073,San Diego County,California,2015,June,73.8,5.2,126,68.6
CA-075,San Francisco County,California,2015,June,61.7,2.3,113,59.4
CA-077,San Joaquin County,California,2015,June,75.8,4.5,125,71.3
CA-079,San Luis Obispo County,California,2015,June,70.7,5,124,65.7
CA-081,San Mateo County,California,2015,June,62.8,3.5,125,59.3
CA-083,Santa Barbara County,California,2015,June,66.4,4.3,124,62.1
CA-085,Santa Clara County,California,2015,June,69,4.8,129,64.2
CA-087,Santa Cruz County,California,2015,June,64.4,4.1,128,60.3
CA-089,Shasta County,California,2015,June,73.9,8.4,130,65.5
CA-091,Sierra County,California,2015,June,63.2,6.3,129,56.9
CA-093,Siskiyou County,California,2015,June,67.2,9.3,130,57.9
CA-095,Solano County,California,2015,June,72.9,3.7,123,69.2
CA-097,Sonoma County,California,2015,June,65.8,3.6,127,62.2
CA-099,Stanislaus County,California,2015,June,75.9,4.8,126,71.1
CA-101,Sutter County,California,2015,June,79,5.4,127,73.6
CA-103,Tehama County,California,2015,June,76.9,7.5,130,69.5
CA-105,Trinity County,California,2015,June,70.3,8.8,130,61.5
CA-107,Tulare County,California,2015,June,70.3,5.9,126,64.4
CA-109,Tuolumne County,California,2015,June,65.7,6.1,126,59.6
CA-111,Ventura County,California,2015,June,67.6,5.3,124,62.3
CA-113,Yolo County,California,2015,June,76.5,4.6,127,72
CA-115,Yuba County,California,2015,June,77.5,6.6,129,70.9
